iter	MultiClass
0	1.578837206
1	1.547135857
2	1.509196288
3	1.483653658
4	1.458503675
5	1.444894293
6	1.429350543
7	1.411885547
8	1.396037885
9	1.379377426
10	1.365490567
11	1.344879734
12	1.327415029
13	1.311318173
14	1.293234467
15	1.28187493
16	1.268615723
17	1.252174037
18	1.242168062
19	1.226180933
20	1.209925658
21	1.198094848
22	1.181847542
23	1.166463281
24	1.154374044
25	1.143298495
26	1.138807357
27	1.123245336
28	1.107689633
29	1.101545006
30	1.096126484
31	1.085891432
32	1.070361872
33	1.060373003
34	1.042997421
35	1.036736652
36	1.02304291
37	1.008700134
38	0.99765141
39	0.9893367306
40	0.9729261459
41	0.9609434286
42	0.94829467
43	0.9416169574
44	0.9359680953
45	0.9296720468
46	0.9232975662
47	0.9168748795
48	0.9064363127
49	0.9001565921
50	0.894993776
51	0.8854551862
52	0.8811277159
53	0.8753119791
54	0.8659696154
55	0.8617948301
56	0.8518814767
57	0.8432755197
58	0.8366743926
59	0.8293914795
60	0.8242339116
61	0.816815516
62	0.8126210012
63	0.8046615503
64	0.7966388289
65	0.7890273659
66	0.781247959
67	0.7776468362
68	0.7713889347
69	0.7693379882
70	0.7651674793
71	0.7561398646
72	0.749839151
73	0.7428542216
74	0.7357311856
75	0.7299382884
76	0.7213625574
77	0.7162667536
78	0.7086141793
79	0.7011261958
80	0.696075488
81	0.6898280344
82	0.6856180179
83	0.6826620892
84	0.6793522926
85	0.674288367
86	0.6680444122
87	0.6629759187
88	0.6575136124
89	0.6554993065
90	0.6499005943
91	0.6446595405
92	0.6389163072
93	0.631997807
94	0.6297310993
95	0.6267794469
96	0.6191643879
97	0.6163330078
98	0.612436574
99	0.6066572347
100	0.6021528305
101	0.5952633414
102	0.5894336093
