iter	Passed	Remaining
0	3	3209
1	9	4930
2	15	5043
3	20	5019
4	23	4635
5	26	4384
6	31	4464
7	35	4436
8	39	4384
9	44	4413
10	48	4325
11	51	4270
12	54	4160
13	57	4073
14	60	3960
15	62	3867
16	66	3819
17	67	3684
18	69	3605
19	71	3484
20	72	3367
21	73	3254
22	74	3149
23	75	3053
24	76	2965
25	77	2887
26	78	2813
27	78	2742
28	80	2684
29	81	2635
30	82	2591
31	83	2535
32	84	2482
33	85	2433
34	86	2394
35	87	2355
36	89	2320
37	90	2284
38	91	2256
39	92	2223
40	93	2193
41	94	2162
42	95	2135
43	97	2117
44	98	2093
45	99	2067
46	100	2042
47	101	2020
48	102	1997
49	104	1977
50	105	1957
51	106	1936
52	107	1916
53	108	1897
54	109	1880
