target,horizon,task,IC,RMSE,AUC,F1,Accuracy,n_iter
volatility,1,regression,0.38796992481203,0.28191089520262114,,,,20
volatility,3,regression,-0.022556390977443608,0.17484558686495502,,,,20
volatility,6,regression,-0.42556390977443603,1.1467824392911867,,,,20
volatility,12,regression,-0.6045112781954887,1.2052178581348982,,,,20
returns,1,regression,-0.5924812030075187,0.1132770146748587,,,,20
returns,3,regression,-0.3203007518796992,0.5276415114662035,,,,20
returns,6,regression,0.18045112781954886,0.041635323019558676,,,,20
returns,12,regression,-0.3398496240601503,0.09211385481158214,,,,20
direction,1,binary,-0.5921565254637922,,,,0.25,20
direction,3,binary,-0.19999999999999998,,,,0.4,20
direction,6,binary,-0.05802588531856595,,,,0.5,20
direction,12,binary,0.4714045207910317,,,,0.75,20
vol_regime,1,multiclass,,,,0.16666666666666666,0.3,20
vol_regime,3,multiclass,,,,0.16666666666666666,0.3,20
vol_regime,6,multiclass,,,,0.16666666666666666,0.3,20
vol_regime,12,multiclass,,,,0.0,0.0,20
trend_regime,1,binary,,,,,0.55,20
trend_regime,3,binary,,,,,0.55,20
trend_regime,6,binary,,,,,0.25,20
trend_regime,12,binary,,,,,1.0,20
