feature,category,fwd_ret_1_ic,fwd_ret_1_pval,fwd_ret_1_n,fwd_ret_1_icir,fwd_ret_1_hit_rate,fwd_ret_3_ic,fwd_ret_3_pval,fwd_ret_3_n,fwd_ret_3_icir,fwd_ret_3_hit_rate,fwd_ret_6_ic,fwd_ret_6_pval,fwd_ret_6_n,fwd_ret_6_icir,fwd_ret_6_hit_rate,fwd_ret_12_ic,fwd_ret_12_pval,fwd_ret_12_n,fwd_ret_12_icir,fwd_ret_12_hit_rate,fwd_ret_1_qval,fwd_ret_3_qval,fwd_ret_6_qval,fwd_ret_12_qval,max_abs_ic,fwd_ret_1_abs_ic,fwd_ret_3_abs_ic,fwd_ret_6_abs_ic,fwd_ret_12_abs_ic
M_P_logReturn_pct_N,Momentum,-0.006860977374315095,0.6133958728665269,5425,0.1678161721313575,0.47757888909392876,-0.023782549732775486,0.0798532422731546,5425,-0.35383499415081093,0.47879011434894875,0.004189672578817265,0.7576875225454432,5425,-0.23979739440389633,0.4968646255994098,0.001756659588257017,0.8970756911804327,5425,-0.4342577743650146,0.5000922339051835,0.920730035241421,0.2989914134686916,0.9213495654695323,0.9804422209982994,0.023782549732775486,0.006860977374315095,0.023782549732775486,0.004189672578817265,0.001756659588257017
M_P_roc_3_pct_N,Momentum,-0.0422228387817509,0.0018708542170680984,5423,-0.3468945697725978,0.47158671586715867,-0.04248490199762097,0.0017520948163447475,5423,-0.40116086538302004,0.468744237506915,-0.004670905947812718,0.7309268570672582,5423,-0.32231267877741426,0.4890282131661442,-0.0065866155793790244,0.6277199411589172,5423,-0.4978098494701157,0.48893397270379935,0.15528090001665218,0.05816954790264561,0.9124576869718412,0.8683459186031687,0.04248490199762097,0.0422228387817509,0.04248490199762097,0.004670905947812718,0.0065866155793790244
M_P_V_momAtr_3_rat_N,Momentum,-0.03792985560325967,0.005213222871811687,5423,-0.20559156829664565,0.47158671586715867,-0.02862607887162868,0.0350310167377949,5423,-0.16916236068385168,0.468744237506915,0.00548660979950119,0.6862498935819675,5423,-0.07798812879465322,0.4890282131661442,0.0015609468386019434,0.9085059242414882,5423,-0.22257296313054173,0.48893397270379935,0.216348749180185,0.22365956840284437,0.8895608324046438,0.9804422209982994,0.03792985560325967,0.03792985560325967,0.02862607887162868,0.00548660979950119,0.0015609468386019434
M_P_roc_6_pct_N,Momentum,-0.015529456863232042,0.25299959845952136,5420,-0.2296514654917278,0.4831087317703526,-0.009366046618212977,0.4905775536490913,5420,-0.32059074685085814,0.4867158671586716,0.008073840982679385,0.5523288651228642,5420,-0.30734844397046884,0.4996309963099631,0.0017920858686694442,0.8950600663919502,5420,-0.43834856424281937,0.49215722458018085,0.920730035241421,0.7171827294331503,0.8868521633484934,0.9804422209982994,0.015529456863232042,0.015529456863232042,0.009366046618212977,0.008073840982679385,0.0017920858686694442
M_P_V_momAtr_6_rat_N,Momentum,-0.012450551940603113,0.35943521139517,5420,-0.01997111528540344,0.4831087317703526,-0.008238696493207156,0.5442434747456225,5420,-0.09715502100626089,0.4867158671586716,0.014449511234514269,0.28751331598875723,5420,-0.08938416335601478,0.4996309963099631,0.006009687550056538,0.6582438811178895,5420,-0.2666429225916639,0.49215722458018085,0.920730035241421,0.7451734361204903,0.7662996834162561,0.881197453754594,0.014449511234514269,0.012450551940603113,0.008238696493207156,0.014449511234514269,0.006009687550056538
M_P_roc_12_pct_N,Momentum,-0.011028759303513143,0.41717493883645906,5414,-0.41133404529793993,0.48817005545286507,-0.0115669126931169,0.3948115236119697,5414,-0.48854301198243266,0.4875300203214484,0.007636021517425154,0.5742958591007782,5414,-0.43071367527374904,0.4912248291150933,-0.011413802186886049,0.40109920519003184,5414,-0.5556753348990351,0.48946784922394676,0.920730035241421,0.6488981477186829,0.8868521633484934,0.6725501824398513,0.0115669126931169,0.011028759303513143,0.0115669126931169,0.007636021517425154,0.011413802186886049
M_P_V_momAtr_12_rat_N,Momentum,-0.006540013012210311,0.6304401281693124,5414,-0.17505407295951497,0.48817005545286507,-0.009324283190587515,0.4927533369460927,5414,-0.2656976413987298,0.4875300203214484,0.011305933916320406,0.4055648363377514,5414,-0.2650900195892411,0.4912248291150933,-0.008465166030747569,0.5334597925627661,5414,-0.4375496025199859,0.48946784922394676,0.920730035241421,0.7171827294331503,0.8608786709485695,0.7977867168055782,0.011305933916320406,0.006540013012210311,0.009324283190587515,0.011305933916320406,0.008465166030747569
M_P_roc_21_pct_N,Momentum,-0.01079652857125496,0.42743628724895055,5405,-0.5831032486312552,0.49185486856719735,-0.019213444592650394,0.15784657281702663,5405,-0.6999134749697632,0.48196114708603144,-0.01338607329205937,0.3251434242755059,5405,-0.7610553396236913,0.4860314523589269,-0.027223657131347608,0.04535403853675797,5405,-0.8299087047093138,0.48279052553663954,0.920730035241421,0.3942608150101554,0.8034091456692185,0.2273513638206263,0.027223657131347608,0.01079652857125496,0.019213444592650394,0.01338607329205937,0.027223657131347608
M_P_V_momAtr_21_rat_N,Momentum,-0.008657054033126029,0.524567794826072,5405,-0.41266559369311945,0.49185486856719735,-0.018090733817254807,0.183581368110211,5405,-0.5331800243701821,0.48196114708603144,-0.011331727182165647,0.40488535898337064,5405,-0.6158903688683302,0.4860314523589269,-0.025108287955110838,0.06492229116281995,5405,-0.7088727554587119,0.48279052553663954,0.920730035241421,0.40098035666177667,0.8608786709485695,0.23503617429828189,0.025108287955110838,0.008657054033126029,0.018090733817254807,0.011331727182165647,0.025108287955110838
V_atrPct_3_pct_N,Volatility,0.018386573216727566,0.17571785429035688,5425,0.3004553628021013,0.5077462191073404,0.03279191866850763,0.01571929362795862,5425,0.40545363137985746,0.5146543778801843,0.023689520178233083,0.08103974067263447,5425,0.37854188459497295,0.5172350230414746,0.020709667332992884,0.1272156284054199,5425,0.21203291709706007,0.519542772861357,0.9013828165571316,0.17287072087089736,0.48560504448244796,0.30605499007680725,0.03279191866850763,0.018386573216727566,0.03279191866850763,0.023689520178233083,0.020709667332992884
V_returnStd_3_pct_N,Volatility,0.009351937562584527,0.49111119830689,5423,0.0638606248126797,0.5075645756457564,0.023604255166274377,0.0821962094753101,5423,0.19562144899872758,0.5144753826295408,0.006074779154218362,0.6546917185904053,5423,0.21715364787904917,0.5170569795316245,-0.005321144837601749,0.69523039414135,5423,0.10059615089351567,0.5193655477683512,0.920730035241421,0.2989914134686916,0.8868521633484934,0.9016269174020634,0.023604255166274377,0.009351937562584527,0.023604255166274377,0.006074779154218362,0.005321144837601749
V_atrPct_6_pct_N,Volatility,0.01801462426415327,0.18462057688519562,5425,0.37718498687093843,0.5077462191073404,0.030240799490444815,0.02592255071829043,5425,0.442113298599261,0.5146543778801843,0.024412449574015057,0.0721860772729891,5425,0.35481147289500936,0.5172350230414746,0.025145999037090652,0.06402804818442676,5425,0.21699583304440262,0.519542772861357,0.9013828165571316,0.21515717096181058,0.4793155530926477,0.23503617429828189,0.030240799490444815,0.01801462426415327,0.030240799490444815,0.024412449574015057,0.025145999037090652
V_returnStd_6_pct_N,Volatility,0.00816220780092216,0.5479875632223264,5420,0.1424915695962821,0.5072918589625254,0.01732744361951831,0.20214676957575767,5420,0.2116265837986526,0.5142066420664206,0.005776538267638926,0.670706953384506,5420,0.20312285274122904,0.5171586715867159,-0.004562110785459686,0.7370293542966229,5420,0.14956343476990827,0.5190994648459125,0.920730035241421,0.43020979166122786,0.8868521633484934,0.9339455939941939,0.01732744361951831,0.00816220780092216,0.01732744361951831,0.005776538267638926,0.004562110785459686
V_atrPct_12_pct_N,Volatility,0.015640488194322233,0.24940373141649014,5425,0.4131651859645818,0.5077462191073404,0.026702820286599094,0.04921977213018491,5425,0.4327150986066325,0.5146543778801843,0.02052536650134002,0.13063603405235286,5425,0.3331587979292696,0.5172350230414746,0.025297519192385154,0.06244152888734141,5425,0.22745448991563288,0.519542772861357,0.920730035241421,0.25532756792533423,0.6264471544050817,0.23503617429828189,0.026702820286599094,0.015640488194322233,0.026702820286599094,0.02052536650134002,0.025297519192385154
V_returnStd_12_pct_N,Volatility,0.004517287371304674,0.7396578720301893,5414,0.12628126723347824,0.5076695620033266,0.00024759022892472147,0.9854685687695479,5414,0.09618161428562212,0.5144070927225711,-0.008842004261400688,0.5153976014195305,5414,0.12062215690533558,0.5169929811599556,-0.0017342270837684612,0.898485422035649,5414,0.11893526410812551,0.5185664141880658,0.9696049148736804,0.9898104517200037,0.8799584730965834,0.9804422209982994,0.008842004261400688,0.004517287371304674,0.00024759022892472147,0.008842004261400688,0.0017342270837684612
V_atrPct_21_pct_N,Volatility,0.012552679408423948,0.3552854161616561,5425,0.42821126350111066,0.5077462191073404,0.022009143399852264,0.10503964421452976,5425,0.42640167010333496,0.5146543778801843,0.014562770714910963,0.2835293042388579,5425,0.3376704470150765,0.5172350230414746,0.022170193964648702,0.10251924609911818,5425,0.2537184904259957,0.519542772861357,0.920730035241421,0.3373262301868354,0.7662996834162561,0.2659092945695878,0.022170193964648702,0.012552679408423948,0.022009143399852264,0.014562770714910963,0.022170193964648702
V_returnStd_21_pct_N,Volatility,0.005403008335419093,0.6912692382507071,5405,0.18370138575518236,0.5072195483154387,0.008180270815725189,0.547657585582529,5405,0.1796053628901371,0.5135985198889916,-0.001087420157999957,0.936295113017386,5405,0.1670254411730686,0.5161887141535615,0.0075515922814967645,0.5788517130051354,5405,0.14043942047996416,0.518319763138416,0.963764584213253,0.7451734361204903,0.9674198501073226,0.842889336481162,0.008180270815725189,0.005403008335419093,0.008180270815725189,0.001087420157999957,0.0075515922814967645
N_V_bollingerBandwidth_21_pct_N,Normalized,0.01003091534132652,0.46089365301220286,5406,0.13853547577104264,0.507125670923561,0.01925683455289423,0.15687146042233502,5406,0.10779012164782097,0.5136884942656308,0.009840755893355825,0.4694361679440604,5406,0.04292481896549981,0.5162782093969663,0.003948499310381298,0.7716254424239473,5406,-0.01952884632714196,0.5182238667900092,0.920730035241421,0.3942608150101554,0.8608786709485695,0.9488135069805573,0.01925683455289423,0.01003091534132652,0.01925683455289423,0.009840755893355825,0.003948499310381298
N_V_bollingerBandwidth_42_pct_N,Normalized,0.00832553916407865,0.5413199939002298,5385,0.1105413102679284,0.5072463768115942,0.02341270690301777,0.08581103332449608,5385,0.11887740355293165,0.5136490250696378,0.03324443301494375,0.01470070306999473,5385,0.13034753562980425,0.5164345403899722,0.05497109440882312,5.4362134024779385e-05,5385,0.1514493379618944,0.5187592867756315,0.920730035241421,0.2989914134686916,0.13557315053439584,0.0018048228496226758,0.05497109440882312,0.00832553916407865,0.02341270690301777,0.03324443301494375,0.05497109440882312
