target,horizon,helper,mean_abs_ic,max_abs_ic,n_features
volatility,1,if,0.26671875109789644,0.31079073662742945,12
volatility,1,cusum,0.08271253482567839,0.11680068975435308,4
volatility,1,garch,0.09051645946357137,0.17508039774791465,8
volatility,1,hmm4,0.15455660381458794,0.36225622562256227,9
volatility,1,hmm5,0.15933305375324078,0.27813981398139814,10
volatility,1,kalman,0.1452671082147954,0.19305130513051305,7
volatility,1,cp,0.12650547933793393,0.24429285986345473,7
returns,6,if,0.08246345810500637,0.11530753075307529,12
returns,6,cusum,0.08584777218033958,0.09437683476383649,4
returns,6,garch,0.2196646454247031,0.3629029349025136,8
returns,6,hmm4,0.20605293343975994,0.3668646864686469,9
returns,6,hmm5,0.26804376305541355,0.42892289228922886,10
returns,6,kalman,0.14821140179886386,0.18438643864386436,7
returns,6,cp,0.07772884310963024,0.2276545720210565,7
direction,6,if,0.04765208585089482,0.06069270278805864,12
direction,6,cusum,0.09974897562420966,0.2374904746116158,4
direction,6,garch,0.043081596589325984,0.1570172535219936,8
direction,6,hmm4,0.08663166426585017,0.25017354710252754,9
direction,6,hmm5,0.1044839699776311,0.2490864612689808,10
direction,6,kalman,0.15877971403688382,0.3192345827608552,7
direction,6,cp,0.08278973496490605,0.1796053020267749,7
vol_regime,1,if,0.5859180633500627,0.6609087961288129,12
vol_regime,1,cusum,0.07110227739913995,0.09519644544655284,4
vol_regime,1,garch,0.5044579377448061,0.7612533087794512,8
vol_regime,1,hmm4,0.37493145174738235,0.7660470953586668,9
vol_regime,1,hmm5,0.48425326579556777,0.785007594515266,10
vol_regime,1,kalman,0.038502891883233754,0.06201156460009307,7
vol_regime,1,cp,0.20613058381653282,0.7283278247405939,7
trend_regime,1,if,0.0,0.0,12
trend_regime,1,cusum,0.0,0.0,4
trend_regime,1,garch,0.0,0.0,8
trend_regime,1,hmm4,0.0,0.0,9
trend_regime,1,hmm5,0.0,0.0,10
trend_regime,1,kalman,0.0,0.0,7
trend_regime,1,cp,0.0,0.0,7
