target,task,metric,value,test_samples
direction_1bar,binary,AUC,0.5268278301886793,816
direction_3bar,binary,AUC,0.4978626156995104,816
direction_6bar,binary,AUC,0.499264723608399,815
direction_12bar,binary,AUC,0.557729385384369,814
returns_1bar,regression,IC,-0.020359338965779076,816
returns_3bar,regression,IC,0.03967532676916499,816
returns_6bar,regression,IC,0.06925624768083538,815
returns_12bar,regression,IC,0.03609317888236782,814
volatility_1bar,regression,IC,0.3250318365551236,816
volatility_3bar,regression,IC,0.25829760233083787,816
volatility_6bar,regression,IC,0.03176995797492719,815
volatility_12bar,regression,IC,-0.06442396364372521,814
vol_regime_1bar,multiclass,Accuracy,0.9950980392156863,816
vol_regime_3bar,multiclass,Accuracy,0.9950980392156863,816
vol_regime_6bar,multiclass,Accuracy,0.9950980392156863,816
vol_regime_12bar,multiclass,Accuracy,0.8308823529411765,816
trend_regime_1bar,binary,AUC,0.9744774845008723,807
trend_regime_3bar,binary,AUC,0.9744774845008723,807
trend_regime_6bar,binary,AUC,0.9011370971746362,803
trend_regime_12bar,binary,AUC,0.5138954744217902,789
