target,horizon,task_type,metric,value,extra,n_helper_features,test_samples
volatility,1,regression,IC,0.3515545673033879,RMSE=0.0077,36,938
volatility,3,regression,IC,0.2208543544501871,RMSE=0.0153,37,938
volatility,6,regression,IC,0.12168780395814917,RMSE=0.0215,25,937
volatility,12,regression,IC,0.05709662091732529,RMSE=0.0292,33,936
returns,1,regression,IC,-0.05096390197953688,RMSE=0.0131,37,938
returns,3,regression,IC,0.11604366069700549,RMSE=0.0217,35,938
returns,6,regression,IC,0.0766138307131027,RMSE=0.0303,34,886
returns,12,regression,IC,-0.0030504942889684828,RMSE=0.0418,33,885
direction,1,binary,AUC,0.5413892829859217,Acc=0.532,34,938
direction,3,binary,AUC,0.5040973561662814,Acc=0.509,41,867
direction,6,binary,AUC,0.5024602935950357,Acc=0.515,36,937
direction,12,binary,AUC,0.5015031489324351,Acc=0.520,34,856
vol_regime,1,multiclass,Acc,0.8423855165069223,n_classes=3,37,939
vol_regime,3,multiclass,Acc,0.8413205537806177,n_classes=3,37,939
vol_regime,6,multiclass,Acc,0.8434504792332268,n_classes=3,37,939
vol_regime,12,multiclass,Acc,0.8594249201277955,n_classes=3,39,939
trend_regime,1,binary,AUC,0.6399475452831734,Acc=0.586,37,939
trend_regime,3,binary,AUC,0.6490269467894252,Acc=0.581,37,939
trend_regime,6,binary,AUC,0.6155727833810026,Acc=0.587,32,927
trend_regime,12,binary,AUC,0.4739042828790887,Acc=0.493,37,890
