fold,model,auc,accuracy
1,catboost,0.4837957878810064,0.4878587196467991
1,lightgbm,0.5420211338067696,0.5011037527593819
1,ensemble,0.5419967298728555,0.5022075055187638
2,catboost,0.5297371386204777,0.5099337748344371
2,lightgbm,0.5258544580099799,0.5264900662251656
2,ensemble,0.5277860428363079,0.5187637969094923
3,catboost,0.5491656239002073,0.5176600441501104
3,lightgbm,0.5442703241700231,0.5154525386313465
3,ensemble,0.546352598443671,0.5165562913907285
4,catboost,0.5156206544915176,0.5132450331125827
4,lightgbm,0.5008367772123364,0.49337748344370863
4,ensemble,0.5045303069484224,0.4988962472406181
5,catboost,0.5294209420356981,0.49337748344370863
5,lightgbm,0.5178953629533565,0.5011037527593819
5,ensemble,0.5211619187846461,0.5077262693156733
