model,fold,auc,accuracy
catboost,1,0.5538278079286677,0.546458141674333
catboost,2,0.5495637602105892,0.5262189512419503
catboost,3,0.5448958862366684,0.5372585096596136
catboost,4,0.5308824229725224,0.5225390984360626
catboost,5,0.5370431591091561,0.5307621671258035
lightgbm,1,0.5253911146343612,0.5124195032198712
lightgbm,2,0.5350348720453744,0.5216191352345906
lightgbm,3,0.5281564245810055,0.5271389144434223
lightgbm,4,0.5138475981849475,0.500459981600736
lightgbm,5,0.5206451264682666,0.5032139577594124
ensemble,1,0.5384644050111457,0.5262189512419503
ensemble,2,0.5399841243995767,0.515179392824287
ensemble,3,0.5346233282546131,0.5298988040478381
ensemble,4,0.5184566612015538,0.5243790248390064
ensemble,5,0.5237553889852178,0.509641873278237
