target,horizon,helper,baseline_ic,best_ic,improvement_pct,best_config
volatility,1,hmm4,0.12586903054796306,0.13005383362959844,3.3247281427505224,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
volatility,1,hmm5,0.1317835000493415,0.1317835000493415,0.0,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
volatility,1,garch,0.08429204541295694,0.08429204541295694,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
volatility,1,if,0.08649113112484624,0.1037988670001379,20.010994942716945,"{'contamination_extreme': 0.03, 'contamination_moderate': 0.1, 'contamination_mild': 0.2, 'n_estimators': 100}"
volatility,1,kalman,0.09889252620219417,0.14075158008161776,42.32782343312698,"{'process_noise': 0.0001, 'measurement_noise': 0.001}"
volatility,1,cusum,0.06568339718589207,0.07787639132582584,18.56328183730525,"{'threshold': 2.5, 'drift': 0.3}"
volatility,3,hmm4,0.06814138049266788,0.06814138049266788,0.0,"{'n_states': 3, 'n_iter': 100, 'covariance_type': 'diag'}"
volatility,3,hmm5,0.058914374927124175,0.058914374927124175,0.0,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
volatility,3,garch,0.0821188599233382,0.0821188599233382,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
volatility,3,if,0.031602222137204816,0.031602222137204816,0.0,"{'contamination_extreme': 0.005, 'contamination_moderate': 0.02, 'contamination_mild': 0.05, 'n_estimators': 100}"
volatility,3,kalman,0.0696066332383221,0.10776049648877152,54.81354502496426,"{'process_noise': 1e-05, 'measurement_noise': 0.001}"
volatility,3,cusum,0.10262269837344912,0.11635753742408611,13.383821774647972,"{'threshold': 2.5, 'drift': 0.3}"
volatility,6,hmm4,0.0702473231875809,0.0702473231875809,0.0,"{'n_states': 3, 'n_iter': 100, 'covariance_type': 'diag'}"
volatility,6,hmm5,0.077730763602781,0.10535529985457612,35.53874292675388,"{'n_states': 6, 'n_iter': 100, 'covariance_type': 'diag'}"
volatility,6,garch,0.059073871173891714,0.059073871173891714,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
volatility,6,if,0.011340519576109506,0.03122298818098576,175.32237805718916,"{'contamination_extreme': 0.03, 'contamination_moderate': 0.1, 'contamination_mild': 0.2, 'n_estimators': 100}"
volatility,6,kalman,0.029022041067443192,0.04214027525231923,45.20093591760513,"{'process_noise': 0.0005, 'measurement_noise': 0.001}"
volatility,6,cusum,0.10091373743184845,0.12023171763013064,19.143062867261744,"{'threshold': 5.0, 'drift': 0.0}"
volatility,12,hmm4,0.13503358311481117,0.13503358311481117,0.0,"{'n_states': 3, 'n_iter': 100, 'covariance_type': 'diag'}"
volatility,12,hmm5,0.1265177800737863,0.16478170197868364,30.243908707994617,"{'n_states': 6, 'n_iter': 100, 'covariance_type': 'diag'}"
volatility,12,garch,0.2039446410772931,0.2039446410772931,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
volatility,12,if,0.14565170902965593,0.1507730396676961,3.5161486756035307,"{'contamination_extreme': 0.03, 'contamination_moderate': 0.1, 'contamination_mild': 0.2, 'n_estimators': 100}"
volatility,12,kalman,0.0765291741884805,0.09201078227783255,20.229681364681976,"{'process_noise': 1e-05, 'measurement_noise': 0.001}"
volatility,12,cusum,0.13559253620701786,0.15969531215873856,17.775886952156007,"{'threshold': 4.0, 'drift': 0.1}"
returns,1,hmm4,0.07045784735543817,0.18800152237053128,166.82836536592075,"{'n_states': 5, 'n_iter': 100, 'covariance_type': 'diag'}"
returns,1,hmm5,0.05962383343472151,0.09979178811468269,67.36895695232111,"{'n_states': 6, 'n_iter': 100, 'covariance_type': 'diag'}"
returns,1,garch,0.05564639244777236,0.05564639244777236,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
returns,1,if,0.10374363922861635,0.10374363922861635,0.0,"{'contamination_extreme': 0.005, 'contamination_moderate': 0.02, 'contamination_mild': 0.05, 'n_estimators': 100}"
returns,1,kalman,0.08981134493700012,0.09974410846625063,11.059586666047638,"{'process_noise': 1e-05, 'measurement_noise': 0.001}"
returns,1,cusum,0.0700849322686138,0.08164173896736733,16.48971658338753,"{'threshold': 3.0, 'drift': 0.2}"
returns,3,hmm4,0.10629585759303548,0.11197434808322884,5.342155958639561,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
returns,3,hmm5,0.04925497018947529,0.11967242498569074,142.96517595144562,"{'n_states': 6, 'n_iter': 100, 'covariance_type': 'diag'}"
returns,3,garch,0.04933348730158867,0.04933348730158867,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
returns,3,if,0.11640647393493513,0.11994468829956338,3.03953400959978,"{'contamination_extreme': 0.01, 'contamination_moderate': 0.05, 'contamination_mild': 0.1, 'n_estimators': 100}"
returns,3,kalman,0.12473053302752146,0.12473053302752146,0.0,"{'process_noise': 1e-06, 'measurement_noise': 0.001}"
returns,3,cusum,0.08834043752490332,0.10798426533950568,22.236507272295015,"{'threshold': 2.5, 'drift': 0.3}"
returns,6,hmm4,0.07293054680727393,0.1866228484484186,155.89119596427494,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
returns,6,hmm5,0.12684037779156632,0.12710388839745235,0.20774978005745998,"{'n_states': 5, 'n_iter': 100, 'covariance_type': 'diag'}"
returns,6,garch,0.2942783731864456,0.2942783731864456,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
returns,6,if,0.13152023500478816,0.15767867637636704,19.889290321467683,"{'contamination_extreme': 0.03, 'contamination_moderate': 0.1, 'contamination_mild': 0.2, 'n_estimators': 100}"
returns,6,kalman,0.03398948586158176,0.0479330525480791,41.023176235383204,"{'process_noise': 1e-05, 'measurement_noise': 0.001}"
returns,6,cusum,0.14108285938336834,0.14108285938336834,0.0,"{'threshold': 2.0, 'drift': 0.5}"
returns,12,hmm4,0.21125341131194214,0.21125341131194214,0.0,"{'n_states': 3, 'n_iter': 100, 'covariance_type': 'diag'}"
returns,12,hmm5,0.11543014751207006,0.14383085816386926,24.604240108789124,"{'n_states': 5, 'n_iter': 100, 'covariance_type': 'diag'}"
returns,12,garch,0.15730785060135064,0.15730785060135064,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
returns,12,if,0.17486320207156505,0.18349626482113757,4.937038008739722,"{'contamination_extreme': 0.01, 'contamination_moderate': 0.05, 'contamination_mild': 0.1, 'n_estimators': 100}"
returns,12,kalman,0.05456759864008871,0.07012759610358507,28.5150856025851,"{'process_noise': 0.0001, 'measurement_noise': 0.001}"
returns,12,cusum,0.11577639627214716,0.13935984464858028,20.369824191968483,"{'threshold': 3.0, 'drift': 0.2}"
direction,1,hmm4,0.08431625175247781,0.18794556218121963,122.9054995624808,"{'n_states': 5, 'n_iter': 100, 'covariance_type': 'diag'}"
direction,1,hmm5,0.07488082245620144,0.11798792342947155,57.567611518268116,"{'n_states': 6, 'n_iter': 100, 'covariance_type': 'diag'}"
direction,1,garch,0.04200375341590464,0.04200375341590464,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
