feature,ic,ic_pvalue,hit_rate,n_samples,domain,ic_qvalue,is_significant,abs_ic
D_F_N_S_premiumZscore_21_zsc_N,-0.0449762173562014,0.0009089744646017404,0.4901600147139967,5438,Premium,0.13996162135504198,False,0.0449762173562014
M_P_roc_3_pct_N,-0.04259408348285697,0.00168628459463906,0.47129186602870815,5435,Momentum,0.13996162135504198,False,0.04259408348285697
D_F_N_S_premiumZscore_42_zsc_N,-0.038637306218454265,0.004380592495696845,0.4839065661210226,5438,Premium,0.18722774214002322,False,0.038637306218454265
M_P_V_momAtr_3_rat_N,-0.0385208200550887,0.00451151185879574,0.47129186602870815,5435,Momentum,0.18722774214002322,False,0.0385208200550887
M_N_rocAccel_3_dif_N,-0.03214058215525331,0.017851829298041185,0.48388878659547047,5432,Momentum,0.5926807326949673,False,0.03214058215525331
M_T_V_adx_12_bnd_N,0.03034710346460704,0.02525567446522403,0.5073583517292126,5437,Volatility,0.648643203875067,False,0.03034710346460704
M_P_S_W_oiWeightedReturn_pct_N,0.029926588464130363,0.027352424259791983,0.5101177336276674,5437,Momentum,0.648643203875067,False,0.029926588464130363
N_P_T_priceSmaDeviation_6_pct_N,-0.027100137777906725,0.045798654780237376,0.47533136966126655,5433,Other,0.741458100997512,False,0.027100137777906725
V_hurstExponent_63_rat_N,0.02588512960889997,0.057768246730624404,0.5070710829921846,5375,Volatility,0.741458100997512,False,0.02588512960889997
V_skew_42_rat_N,0.02550158261955212,0.0610713253030757,0.5012048192771085,5396,Volatility,0.741458100997512,False,0.02550158261955212
L_M_S_cmf_12_bnd_N,-0.02505720464722162,0.06494842320095205,0.48617766310357535,5427,Volume,0.741458100997512,False,0.02505720464722162
S_N_longShortZscore_63_zsc_N,-0.0250069460454345,0.08102578602787791,0.48593140275210517,4870,Sentiment,0.741458100997512,False,0.0250069460454345
L_M_S_cmf_21_bnd_N,-0.02444485512839796,0.07201843184002846,0.4895698726232232,5418,Volume,0.741458100997512,False,0.02444485512839796
S_N_longShortZscore_21_zsc_N,-0.024020102677756918,0.0909718693791719,0.49626488996567736,4954,Sentiment,0.741458100997512,False,0.024020102677756918
