feature,domain,best_horizon_bars,best_ic,ic_trend,ic_1bar,ic_12bar
V_hurstExponent_63_rat_N,Volatility,12,0.12479161202808385,increasing,0.02588512960889997,0.12479161202808385
V_volMomentum_6_pct_N,Volatility,12,-0.10456410851503356,increasing,0.0032204967383490934,-0.10456410851503356
V_hurstExponent_126_rat_N,Volatility,12,0.09278231174393703,increasing,0.023210235205941114,0.09278231174393703
M_T_V_adx_12_bnd_N,Volatility,6,0.0919116449504809,increasing,0.03034710346460704,0.0545236493479947
S_M_longShortChange_3_pct_N,Sentiment,12,-0.0879756484130502,increasing,-0.02375985670249538,-0.0879756484130502
S_longShortRatio_rat_N,Sentiment,12,-0.08752095214096774,increasing,-0.020820966375736116,-0.08752095214096774
M_T_V_adx_6_bnd_N,Volatility,6,0.08592991264417242,decreasing,0.011393731557031422,0.0019301108335576006
C_N_lowerShadow_bnd_N,Candlestick,12,-0.08338262645294763,increasing,-0.012030929992352926,-0.08338262645294763
F_I_M_fundingMaDiff_7_21_pct_N,Funding,12,-0.0829435840480029,increasing,-0.01282798515787809,-0.0829435840480029
S_N_longShortZscore_21_zsc_N,Sentiment,12,-0.07793479197776228,increasing,-0.024020102677756918,-0.07793479197776228
C_N_bodySize_bnd_N,Candlestick,12,0.07547038043260774,increasing,0.002175417949134013,0.07547038043260774
L_M_S_mfi_6_bnd_N,Volume,12,0.07135866704219826,increasing,0.0012798089631179137,0.07135866704219826
S_N_longShortZscore_63_zsc_N,Sentiment,12,-0.06597524528559012,increasing,-0.0250069460454345,-0.06597524528559012
D_N_markCloseDeviation_pct_N,Other,12,0.06174017166102375,increasing,-0.020411401280574563,0.06174017166102375
L_M_N_volumeRoc_3_pct_N,Volume,12,0.06158434901414648,increasing,0.006309625448278233,0.06158434901414648
M_P_roc_3_pct_N,Momentum,3,-0.05920784082233306,decreasing,-0.04259408348285697,-0.012152434183844322
V_volOfVol_12_pct_N,Volatility,12,-0.0591312651662317,increasing,-0.0012977156692011848,-0.0591312651662317
M_N_rsi_6_bnd_N,Oscillator,12,0.05862991125448117,increasing,-0.011949435577766678,0.05862991125448117
N_V_bollingerBandwidth_42_pct_N,Volatility,12,0.05852662000212111,increasing,0.008507645179682203,0.05852662000212111
M_N_rocAccel_3_dif_N,Momentum,3,-0.05802895793128467,increasing,-0.03214058215525331,-0.05472909641106981
S_M_longShortChange_12_pct_N,Sentiment,12,-0.057013515099447944,increasing,-0.020340212806704054,-0.057013515099447944
L_N_volumeRatio_6_rat_N,Volume,12,0.05625195164963856,increasing,-0.0003982974888304894,0.05625195164963856
V_kurtosis_21_rat_N,Volatility,12,-0.05611878952626276,increasing,-0.00811356946663908,-0.05611878952626276
M_winRate_6_bnd_N,Other,12,0.05554327118830254,increasing,-0.01198112051495719,0.05554327118830254
L_M_S_obv_21_zsc_N,Volatility,12,0.054663056204174255,increasing,-0.006689437273995339,0.054663056204174255
D_N_closeVsMarkVol_21_pct_N,Other,6,-0.05396613442819115,increasing,-0.015342111949461739,-0.03904518964739123
L_N_volumeRatio_21_rat_N,Volume,12,0.0530256591383291,increasing,0.009881001738047459,0.0530256591383291
V_skew_42_rat_N,Volatility,12,0.052983167947017414,increasing,0.02550158261955212,0.052983167947017414
V_kurtosis_12_rat_N,Volatility,12,-0.052229555450760086,increasing,-0.010723657169980262,-0.052229555450760086
L_N_volumeRatio_12_rat_N,Volume,6,0.05166302192223221,increasing,0.008178035896099018,0.03900349467923294
L_M_S_cmf_6_bnd_N,Volume,12,-0.051379698529500625,increasing,-0.007623659907801996,-0.051379698529500625
B_TM_dayOfWeek_bin,Other,12,0.05114204947166643,increasing,0.005623949203447986,0.05114204947166643
M_winRate_12_bnd_N,Other,12,0.050395136894678255,increasing,-0.003989661234503484,0.050395136894678255
L_M_S_cmf_21_bnd_N,Volume,12,-0.049985283440927716,increasing,-0.02444485512839796,-0.049985283440927716
D_N_closeVsMarkVol_12_pct_N,Other,12,-0.04970662393298449,increasing,-0.0095361874831499,-0.04970662393298449
L_N_volOiRatio_rat_N,OpenInterest,12,0.049236168322575505,increasing,0.014867682090871406,0.049236168322575505
L_M_S_cmf_12_bnd_N,Volume,12,-0.04771920623363554,increasing,-0.02505720464722162,-0.04771920623363554
V_autocorr_12_bnd_N,Volatility,12,0.047105204100156804,increasing,0.00756558198448026,0.047105204100156804
V_atrPct_3_pct_N,Volatility,3,0.046669149404095535,stable,0.018043317199036887,0.0233522229411209
L_M_N_S_oiRoc_6_pct_N,OpenInterest,6,-0.04648368428602097,increasing,-0.022740374590841356,-0.0354590455379068
L_M_S_obv_42_zsc_N,Volatility,12,0.04626365468236291,increasing,0.0023267460349412667,0.04626365468236291
F_I_N_S_fundingZscore_21_zsc_N,Funding,6,-0.0461999897251329,increasing,0.001767375985996202,-0.041381412455411666
V_atrPct_6_pct_N,Volatility,6,0.04607923577331068,stable,0.01787981641920793,0.02262373702360094
M_N_V_rangeExpansion_21_rat_N,Volatility,12,0.045692757490728556,increasing,-0.0002087905907194909,0.045692757490728556
V_rogersSatchell_12_pct_N,Volatility,12,0.04560651910430278,increasing,0.01575601445242264,0.04560651910430278
V_D_F_S_premiumRange_pct_N,Volatility,3,0.04533780677566662,increasing,0.0034715646180488776,0.025032331112155096
M_N_V_rangeExpansion_6_rat_N,Volatility,12,0.045077372715408515,increasing,-0.004611327939231756,0.045077372715408515
D_F_N_S_premiumZscore_21_zsc_N,Premium,1,-0.0449762173562014,decreasing,-0.0449762173562014,0.027263954804440556
M_P_V_momAtr_3_rat_N,Momentum,3,-0.044011772482793254,decreasing,-0.0385208200550887,-0.01160509513914328
F_I_N_S_fundingZscore_42_zsc_N,Funding,6,-0.04373253603965591,increasing,-0.0018731300763359594,-0.04047002710500985
L_N_S_oiRatio_6_rat_N,OpenInterest,12,-0.04346147503714226,increasing,-0.007106150996172082,-0.04346147503714226
V_garmanKlass_12_pct_N,Volatility,12,0.043444971699374675,increasing,0.015093018940282374,0.043444971699374675
M_P_V_momAtr_6_rat_N,Momentum,12,0.043208337226345095,increasing,-0.012666724587302843,0.043208337226345095
L_S_oiVolumeRatio_12_rat_N,OpenInterest,12,-0.042529491269669345,increasing,-0.010344713192542942,-0.042529491269669345
V_atrPct_12_pct_N,Volatility,3,0.04242034492944654,increasing,0.015659130603270812,0.02449420193562061
D_markIndexSpread_pct_N,Other,12,0.042326857696504086,increasing,-0.0054633758612216395,0.042326857696504086
M_N_V_rangeExpansion_12_rat_N,Volatility,6,0.042292068047430034,increasing,0.0005359983747826936,0.030007356330323007
D_F_N_S_premiumZscore_42_zsc_N,Premium,12,0.04170578329240034,stable,-0.038637306218454265,0.04170578329240034
D_F_basis_pct_N,Premium,12,0.04144087949787533,increasing,-0.022840866535613246,0.04144087949787533
V_parkinson_12_pct_N,Volatility,12,0.040759475807211384,increasing,0.0139417035293682,0.040759475807211384
V_returnStd_6_pct_N,Volatility,12,-0.04045552850769672,increasing,0.007720454330859704,-0.04045552850769672
M_P_D_markReturnDiff_pct_N,Momentum,12,-0.04034697863685956,increasing,-0.021581877527688847,-0.04034697863685956
M_D_F_S_premiumChange_pct_N,Premium,12,-0.04023654760090611,increasing,-0.022401264735933346,-0.04023654760090611
V_skew_12_rat_N,Volatility,12,-0.03948754927123469,increasing,0.004048356637725183,-0.03948754927123469
