feature,importance_mean,importance_std,domain
V_hurstExponent_126_rat_N,0.015189816379407453,0.0033937677962477195,Volatility
M_P_V_momAtr_3_rat_N,0.009348879125830822,0.002162154059728434,Momentum
S_M_longShortChange_3_pct_N,0.006991100597048568,0.0024835055780624005,Sentiment
M_P_logReturn_pct_N,0.005861214374225487,0.0016218934777987159,Momentum
N_V_bollingerBandwidth_42_pct_N,0.004686267883293904,0.007447558775186916,Volatility
M_T_V_diDiff_6_bnd_N,0.004419285794750483,0.003828037521529167,Volatility
N_P_V_pctB_12_bnd_N,0.004290864030640977,0.0009366671222656806,Volatility
D_N_closeVsMarkVol_21_pct_N,0.0042863580038301485,0.0032151918278645014,Other
N_M_cci_12_zsc_N,0.003693815478202097,0.0021514903757747913,Other
B_consecutiveDown_bnd_N,0.0036419961698772227,0.0015623506798869947,Other
M_N_V_rangeExpansion_6_rat_N,0.003423453869550508,0.000992371206338096,Volatility
L_M_N_volumeRoc_3_pct_N,0.0033051706657654667,0.0004899022102161813,Volume
M_N_V_rangeExpansion_21_rat_N,0.003280387518305746,0.0020547858991504945,Volatility
F_I_N_S_fundingZscore_21_zsc_N,0.0030550861777627523,0.0009112053613857325,Funding
N_V_atrPercentile_42_rnk_N,0.003003266869437878,0.0023565254751469057,Volatility
M_P_S_W_oiWeightedReturn_pct_N,0.002791483609327461,0.0014236165778861282,Momentum
S_N_longShortZscore_21_zsc_N,0.002412977357215277,0.001143620150422798,Sentiment
N_M_cci_6_zsc_N,0.002347639968457845,0.001552953127640911,Other
M_N_T_stochasticD_6_bnd_N,0.00230032668694378,0.0005023285261256143,Oscillator
V_skew_42_rat_N,0.002291314633322069,0.002596476010485811,Volatility
F_I_fundingCumulative_3_pct_N,0.001973639743156471,0.0004565313480326327,Funding
D_N_closeVsMarkVol_12_pct_N,0.0019319589951559875,0.0013076438176690157,Other
V_skew_21_rat_N,0.0019105553678044156,0.002165597141607505,Volatility
D_F_N_S_premiumZscore_42_zsc_N,0.0018925312605609923,0.0009148829708990162,Premium
V_autocorr_21_bnd_N,0.0018283203785062392,0.00016695878275134726,Volatility
N_P_V_pctB_6_bnd_N,0.0015635913033682503,0.0025890584692338263,Volatility
M_D_F_S_premiumChange_pct_N,0.001438549059366893,0.0005163506632757673,Premium
M_V_sortino_21_rat_N,0.0014340430325560094,0.00031992393697355225,Volatility
M_V_calmar_42_rat_N,0.0011388982764447553,0.0018038555941299389,Volatility
N_P_zScore_42_zsc_N,0.0010994705418497415,0.000710312278240129,Other
M_N_rsi_6_bnd_N,0.0010228680860650912,0.0013366684417955813,Oscillator
F_I_N_S_fundingZscore_42_zsc_N,0.0009834403514700774,0.0004799473841644789,Funding
V_autocorr_12_bnd_N,0.0009473921369832125,0.0006616172482477296,Volatility
V_returnStd_3_pct_N,0.0009462656302804962,0.0012795965784996764,Volatility
M_T_ppo_12_26_pct_N,0.0009338740565506173,0.0007363804656992954,Trend
N_P_T_priceSmaDeviation_21_pct_N,0.0008798017348203105,0.0005633524752251579,Other
V_garmanKlass_21_pct_N,0.0008279824264954364,0.0006074869528522273,Volatility
D_markIndexSpread_pct_N,0.0008212233862791388,0.0007172283371503548,Other
M_winRate_12_bnd_N,0.000787428185197725,0.0006630121208863963,Other
L_N_volumeRatio_21_rat_N,0.0007795426382787111,0.0002640402909474349,Volume
F_I_fundingCumulative_7_pct_N,0.0007761631181705253,0.0001911811647391974,Funding
L_S_oiVolumeRatio_21_rat_N,0.000706319702602228,0.0003750810600331452,OpenInterest
V_volOfVol_21_pct_N,0.0006274642334121819,0.001114395866013273,Volatility
N_P_V_pctB_3_bnd_N,0.0006240847133040517,0.0022897628072955692,Volatility
M_T_V_diDiff_12_bnd_N,0.0006083136194660425,0.0015864894295943002,Volatility
V_D_F_S_premiumRange_pct_N,0.0005891630055198845,0.0012014160976125425,Volatility
D_N_closeVsMarkVol_6_pct_N,0.0005621268446547312,0.0010982567996252217,Other
N_P_T_priceEmaDeviation_6_pct_N,0.0005429762307085547,0.0006731289960088801,Other
M_V_sharpe_42_rat_N,0.0005215726033569826,0.0005710244586156094,Volatility
M_P_V_momAtr_21_rat_N,0.0005181930832487969,0.0003136749771861366,Momentum
F_I_M_fundingMaDiff_3_7_pct_N,0.0005091810296271223,0.0004561420248980864,Funding
V_atrPct_3_pct_N,0.0004979159625999966,0.0010292116893427315,Volatility
D_N_premiumRange_rat_N,0.0004494761743832343,0.000286083912606543,Other
F_I_M_fundingMaDiff_3_21_pct_N,0.0004472231609778203,0.0008757645977579234,Funding
M_N_T_stochasticD_12_bnd_N,0.0003300664638954398,0.00031703109035962626,Oscillator
L_M_N_S_oiPctChange_pct_N,0.0003097893432465841,0.0035120031211442965,OpenInterest
M_P_V_momAtr_6_rat_N,0.000305283316435719,0.00025761806892431643,Momentum
M_winRate_21_bnd_N,0.00028500619578686326,0.0005777584807776632,Other
V_hurstExponent_63_rat_N,0.00027824715557058416,0.0034171191465102377,Volatility
F_I_T_fundingMa_21_pct_N,0.00020051819308325447,0.0003621013818905391,Funding
