target,horizon,features,rows,valid_targets,size_kb
direction,1,171,5438,5437,6359.7216796875
returns,1,171,5438,5437,6404.958984375
volatility,1,171,5438,5437,6406.9345703125
vol_regime,1,171,5438,5438,6366.677734375
trend_regime,1,170,5438,5376,6327.4296875
direction,3,171,5438,5435,6344.7880859375
returns,3,171,5438,5435,6405.3720703125
volatility,3,171,5438,5435,6407.197265625
vol_regime,3,171,5438,5438,6366.677734375
trend_regime,3,170,5438,5376,6327.4296875
direction,6,171,5438,5432,6364.6396484375
returns,6,171,5438,5432,6398.7255859375
volatility,6,171,5438,5432,6407.033203125
vol_regime,6,171,5438,5438,6366.677734375
trend_regime,6,171,5438,5349,6356.1640625
direction,12,170,5438,5426,6313.0947265625
returns,12,171,5438,5426,6399.158203125
volatility,12,166,5438,5426,6211.6103515625
vol_regime,12,171,5438,5438,6366.8486328125
trend_regime,12,169,5438,5259,6284.458984375
