target,horizon,task_type,metric_name,baseline
direction,1,binary,AUC,0.5071214939635993
direction,3,binary,AUC,0.5343913368185212
direction,6,binary,AUC,0.5353553301805127
direction,12,binary,AUC,0.5741356800664252
returns,1,regression,IC,0.01563578287846649
returns,3,regression,IC,0.0907033140073665
returns,6,regression,IC,0.060564153353940775
returns,12,regression,IC,0.046767043893497486
volatility,1,regression,IC,0.3528107615691186
volatility,3,regression,IC,0.23295301422101214
volatility,6,regression,IC,0.03801134300584755
volatility,12,regression,IC,-0.038593827124180566
vol_regime,1,multiclass,Accuracy,0.9936102236421726
vol_regime,3,multiclass,Accuracy,0.9936102236421726
vol_regime,6,multiclass,Accuracy,0.9936102236421726
vol_regime,12,multiclass,Accuracy,0.858359957401491
trend_regime,1,binary,AUC,0.9799378921582019
trend_regime,3,binary,AUC,0.979951552240709
trend_regime,6,binary,AUC,0.9250950248381755
trend_regime,12,binary,AUC,0.7916635104357618
