target,horizon,task_type,metric_name,baseline,optimized,improvement_pct,n_trials,elapsed_sec
direction,1,binary,AUC,0.5072035598351388,0.5362007237005006,5.71706631451623,19,121.84741973876953
direction,3,binary,AUC,0.5344020057612291,0.5360817557368334,0.31432329173457196,17,127.00662970542908
direction,6,binary,AUC,0.536403233008028,0.5141060166644924,-4.156801259100882,19,124.48635983467102
direction,12,binary,AUC,0.5741520678673462,0.5404521895780964,-5.869503947695601,22,121.84024238586426
returns,1,regression,IC,0.015539046294329789,0.06718157743256653,332.3404162653222,25,109.2918860912323
returns,3,regression,IC,0.09057173887586897,0.06803382583573005,-24.88404586228354,25,104.07255840301514
returns,6,regression,IC,0.06033260955767759,0.01950171813013474,-67.67632251760762,25,86.10761523246765
returns,12,regression,IC,0.046657925165292456,0.09225200958818243,97.71991416542062,25,92.59259223937988
volatility,1,regression,IC,0.35301183931179503,0.2904681232907843,-17.71717235969796,25,93.8354082107544
volatility,3,regression,IC,0.23295301422101214,0.25502049005972416,9.47292994362189,25,86.68485164642334
volatility,6,regression,IC,0.03798480943704666,0.18340346393013632,382.833708127709,25,86.54504227638245
volatility,12,regression,IC,-0.038336815422633744,0.18251517692321492,576.0833024629883,25,103.83649230003357
vol_regime,1,multiclass,Accuracy,0.9936102236421726,0.9965517241379311,0.2960416897660571,18,124.23983454704285
vol_regime,3,multiclass,Accuracy,0.9936102236421726,0.9965397923875433,0.2948408415758995,17,124.94321155548096
vol_regime,6,multiclass,Accuracy,0.9936102236421726,0.9965217391304347,0.2930239060533967,18,123.48503112792969
vol_regime,12,multiclass,Accuracy,0.8594249201277955,0.8151460942158617,-5.152145914659952,13,127.01805257797241
trend_regime,1,binary,AUC,0.9799788724057227,0.9600050587472632,-2.0381881916929863,24,123.16228461265564
trend_regime,3,binary,AUC,0.9799970858490652,0.9600283610597025,-2.037631037653741,24,121.27180027961731
trend_regime,6,binary,AUC,0.9251232500376335,0.9084184888989509,-1.8056795284307294,19,122.98562121391296
trend_regime,12,binary,AUC,0.7917645098247155,0.7919779938127878,0.026963066091402234,19,122.69276237487793
