target,horizon,metric,value
direction,1,AUC,0.5079534337371829
direction,3,AUC,0.5003662432261959
direction,6,AUC,0.5382245604057064
direction,12,AUC,0.5817870406484762
returns,1,IC,-0.014178302986175806
returns,3,IC,0.09153844075356259
returns,6,IC,0.03908629932020789
returns,12,IC,0.12219495251556897
volatility,1,IC,0.30653125236196194
volatility,3,IC,0.13822179888235087
volatility,6,IC,0.03514330624370085
volatility,12,IC,-0.011966286019995411
vol_regime,1,Acc,0.9981617647058824
vol_regime,3,Acc,0.9981617647058824
vol_regime,6,Acc,0.9981617647058824
vol_regime,12,Acc,0.8621323529411765
trend_regime,1,AUC,0.9633366141732282
trend_regime,3,AUC,0.9633366141732282
trend_regime,6,AUC,0.8955628932600193
trend_regime,12,AUC,0.7728411649357252
