iter	F1	Logloss
0	0.006221435452	0.6831245829
1	0.03922020717	0.6742858475
2	0.09517655243	0.6671325372
3	0.08406233523	0.6624351536
4	0.07018283298	0.6588588744
5	0.07740709631	0.6555705944
6	0.0976407511	0.6520218729
7	0.09489955148	0.6498092979
8	0.1055054713	0.6478694521
9	0.09930968043	0.6469338946
10	0.1090420931	0.644803461
11	0.1081729093	0.6438855802
12	0.1177573697	0.6424314366
13	0.1266454171	0.6412600619
14	0.1396715215	0.6403217077
15	0.148171088	0.6390141142
16	0.1599605128	0.6380834527
17	0.156484261	0.6377847001
18	0.1597087789	0.6374584043
19	0.1727414886	0.6365015078
20	0.1743261243	0.6360762998
21	0.180160346	0.635482498
22	0.197818893	0.6345172841
23	0.2008378621	0.6340146292
24	0.2164995943	0.6333276288
25	0.2210100732	0.6329517636
26	0.2334374975	0.6324799981
27	0.2368253267	0.6320111143
28	0.2386088221	0.6317491724
29	0.240102155	0.631416519
30	0.2430128654	0.6311114448
31	0.2435357354	0.6309607929
32	0.2515935064	0.6305576198
33	0.2546396264	0.6301032199
34	0.2599122295	0.6296029237
35	0.2623662022	0.6294457944
36	0.2667046511	0.6292016155
37	0.2755652725	0.6284851881
38	0.2802218221	0.6282280806
39	0.2833452363	0.6278086483
40	0.2854734221	0.6276023903
41	0.2927559593	0.6271294089
42	0.2986164293	0.6266851076
43	0.300794972	0.6264399676
44	0.3026378491	0.6262004604
