iter	Passed	Remaining
0	52	49934
1	103	48900
2	148	46982
3	201	47726
4	252	47649
5	300	47201
6	353	47645
7	403	47498
8	457	47848
9	507	47747
10	560	47816
11	606	47439
12	655	47261
13	700	46826
14	755	47106
15	807	47153
16	856	47024
17	907	46997
18	953	46725
19	1003	46665
20	1049	46430
21	1098	46325
22	1148	46303
23	1202	46414
24	1284	47517
25	1357	48256
26	1413	48323
27	1462	48169
28	1513	48068
29	1567	48070
30	1627	48236
31	1681	48228
32	1733	48176
33	1789	48209
34	1842	48176
35	1899	48234
36	1960	48375
37	2013	48323
38	2062	48183
39	2115	48130
40	2160	47895
41	2207	47717
42	2252	47516
43	2302	47401
44	2357	47404
