iter	F1	Logloss
0	0.685477625	0.6912391032
1	0.696262377	0.6891544927
2	0.6978868176	0.687316336
3	0.7008095859	0.6854496321
4	0.7024523469	0.6836331158
5	0.7029368185	0.6822457727
6	0.7027504709	0.6805605217
7	0.7027088711	0.6789956086
8	0.7021526903	0.6775579088
9	0.7015646289	0.6763392328
10	0.701542227	0.6751038988
11	0.701162309	0.6739243406
12	0.7007320241	0.6727846589
13	0.7004627654	0.6718743009
14	0.700010135	0.6711509837
15	0.6998555591	0.6700954547
16	0.7001438204	0.6693653437
17	0.6997947726	0.6685350225
18	0.7000509406	0.6677515675
19	0.6995397674	0.6670736308
20	0.6993320927	0.66619116
21	0.6991529912	0.6654846263
22	0.6992363682	0.6649126893
23	0.6987575936	0.664232095
24	0.6987553965	0.6636573545
25	0.6991603293	0.6630207659
26	0.6989625151	0.6623494932
27	0.6986221705	0.6618169421
28	0.6989513043	0.6611402014
29	0.6988475649	0.6605669306
30	0.6987714479	0.660100401
31	0.6988545854	0.6595531536
32	0.6987315238	0.6590426642
33	0.6988790763	0.6585772218
34	0.6989270327	0.6581561086
35	0.6989748336	0.6575905299
36	0.698753436	0.6571959658
37	0.6988099328	0.6568580714
38	0.6990761255	0.6565457189
39	0.6992862797	0.6561179924
40	0.6995491989	0.6556624519
41	0.6997041456	0.6553918154
42	0.6998323544	0.6550309395
43	0.699802804	0.6546144057
44	0.6998652662	0.6543016837
45	0.7001623557	0.6540659224
46	0.7000674416	0.6537649481
47	0.7001780815	0.6535737863
48	0.699997381	0.6533129181
49	0.6998642021	0.652994533
50	0.6999725234	0.6527432084
51	0.7001472802	0.6524360837
52	0.7002943874	0.6522043774
53	0.7002433172	0.6519681538
54	0.7006386027	0.6517128864
55	0.7006164689	0.651551019
56	0.70062757	0.6513590597
57	0.700499153	0.6511549267
58	0.7005588302	0.6509064987
