iter	Passed	Remaining
0	27	20830
1	53	20000
2	95	23807
3	127	23702
4	157	23431
5	189	23488
6	220	23377
7	250	23215
8	287	23638
9	316	23402
10	345	23196
11	379	23354
12	411	23335
13	439	23121
14	466	22840
15	497	22827
16	530	22890
17	560	22797
18	611	23527
19	655	23921
20	683	23727
21	712	23592
22	744	23537
23	773	23407
24	801	23255
25	832	23186
26	862	23107
27	890	22964
28	918	22831
29	948	22752
30	978	22697
31	1007	22614
32	1040	22606
33	1069	22517
34	1102	22514
35	1130	22416
36	1162	22405
37	1190	22304
38	1221	22268
39	1253	22256
40	1284	22220
41	1317	22211
42	1349	22192
43	1376	22090
44	1407	22053
45	1437	22005
46	1468	21965
47	1498	21918
48	1527	21850
49	1557	21805
50	1594	21853
51	1628	21859
52	1658	21817
53	1698	21890
54	1744	22041
55	1781	22077
56	1820	22134
57	1857	22165
58	1892	22168
