iter	Passed	Remaining
0	75	22572
1	105	15782
2	137	13624
3	165	12272
4	193	11394
5	222	10887
6	253	10589
7	282	10305
8	312	10104
9	341	9904
10	371	9762
11	401	9634
12	430	9510
13	458	9358
14	484	9196
15	511	9086
16	539	8978
17	569	8923
18	600	8876
19	629	8806
20	663	8811
21	692	8754
22	724	8727
23	750	8633
24	782	8611
25	818	8624
26	852	8620
27	883	8579
28	913	8534
29	942	8480
30	968	8401
31	997	8351
32	1032	8355
33	1066	8346
34	1102	8344
35	1136	8337
36	1171	8326
37	1200	8279
38	1232	8249
39	1261	8202
40	1290	8155
41	1319	8108
42	1350	8069
43	1380	8029
44	1427	8087
45	1484	8198
46	1518	8172
47	1549	8133
48	1580	8095
49	1608	8044
50	1639	8006
51	1669	7962
52	1698	7916
53	1730	7884
54	1758	7834
55	1789	7799
56	1821	7765
57	1848	7714
58	1882	7688
59	1911	7645
60	1940	7604
61	1972	7573
62	2002	7532
63	2044	7540
64	2073	7494
65	2104	7460
66	2132	7416
67	2159	7369
68	2191	7338
69	2220	7295
70	2250	7259
71	2281	7224
72	2311	7189
73	2339	7145
74	2370	7112
75	2397	7067
76	2427	7029
77	2453	6984
78	2477	6932
79	2507	6896
80	2534	6852
81	2566	6822
82	2599	6795
83	2627	6755
84	2655	6715
85	2683	6677
86	2710	6635
87	2744	6611
88	2775	6579
89	2806	6547
90	2836	6515
91	2870	6490
92	2903	6462
93	2933	6429
94	2962	6392
95	2997	6369
96	3028	6337
97	3062	6311
98	3088	6270
99	3117	6234
100	3150	6206
101	3181	6175
102	3215	6149
103	3244	6114
104	3275	6083
105	3304	6048
106	3334	6013
107	3368	5987
108	3400	5957
109	3427	5920
110	3456	5886
111	3489	5857
112	3521	5827
113	3549	5791
114	3578	5756
115	3609	5726
116	3636	5688
117	3665	5653
118	3693	5618
119	3722	5583
120	3754	5554
121	3786	5524
122	3816	5492
123	3845	5458
124	3877	5428
125	3907	5395
126	3932	5356
127	3962	5324
128	3998	5299
129	4028	5268
130	4063	5241
131	4093	5209
132	4123	5178
133	4152	5143
134	4182	5111
135	4213	5081
136	4244	5050
137	4275	5018
138	4302	4983
139	4332	4951
140	4366	4923
141	4396	4891
142	4427	4860
143	4454	4826
144	4481	4790
145	4511	4758
146	4538	4723
147	4569	4692
148	4597	4659
149	4628	4628
150	4659	4598
151	4688	4564
152	4718	4533
153	4755	4508
154	4784	4475
155	4815	4445
156	4846	4414
157	4878	4384
158	4911	4355
159	4948	4330
160	4987	4305
161	5025	4280
162	5056	4250
163	5090	4221
164	5119	4188
165	5155	4162
166	5187	4131
167	5220	4101
168	5251	4070
169	5287	4043
170	5318	4012
171	5353	3983
172	5388	3956
173	5419	3924
174	5450	3893
175	5481	3861
176	5515	3833
177	5552	3805
178	5586	3776
179	5619	3746
180	5652	3716
181	5685	3686
182	5718	3655
183	5750	3625
184	5783	3594
185	5814	3563
186	5852	3536
187	5888	3508
188	5922	3478
189	5955	3447
190	5994	3421
191	6029	3391
192	6065	3362
193	6102	3334
194	6138	3305
195	6178	3278
196	6214	3248
197	6256	3223
198	6291	3193
199	6324	3162
200	6360	3132
201	6393	3101
202	6429	3072
203	6464	3042
204	6493	3009
205	6526	2977
206	6561	2947
207	6596	2917
208	6631	2887
209	6672	2859
210	6706	2828
211	6746	2800
212	6790	2773
213	6829	2744
214	6867	2715
215	6907	2686
216	6945	2656
217	6984	2627
218	7022	2597
219	7098	2581
220	7141	2552
221	7174	2520
222	7213	2490
223	7251	2460
224	7282	2427
225	7310	2393
226	7343	2361
227	7377	2329
228	7415	2299
229	7454	2268
230	7495	2238
231	7527	2206
232	7562	2174
233	7602	2144
234	7638	2112
235	7668	2079
236	7704	2048
237	7749	2018
238	7786	1987
239	7826	1956
240	7862	1924
241	7904	1894
242	7944	1863
243	7982	1832
244	8019	1800
245	8054	1768
246	8091	1736
247	8134	1705
248	8178	1675
249	8220	1644
250	8260	1612
251	8299	1580
252	8340	1549
253	8379	1517
254	8413	1484
255	8457	1453
256	8505	1423
257	8550	1392
258	8584	1358
259	8615	1325
260	8651	1292
261	8688	1260
262	8727	1227
263	8762	1194
264	8795	1161
265	8830	1128
266	8861	1095
267	8891	1061
268	8925	1028
269	8962	995
270	9001	963
271	9033	929
272	9067	896
273	9102	863
274	9135	830
275	9165	797
276	9196	763
277	9227	730
278	9259	696
279	9296	664
280	9334	631
281	9368	598
282	9402	564
283	9437	531
284	9471	498
285	9502	465
286	9535	431
287	9572	398
288	9605	365
289	9640	332
290	9673	299
291	9707	265
292	9742	232
293	9780	199
294	9810	166
295	9840	132
296	9869	99
297	9904	66
298	9936	33
299	9969	0
